algorithm,instance,bks,best_reward,mean_reward,best_gap,mean_gap,mean_runtime,mean_iterations,dataset,protocol
off,p4.2.a,206.0,206.0,206.0,0.0,0.0,1.067950349999819,,Chao,fixed
off,p4.2.b,341.0,341.0,341.0,0.0,0.0,1.7892660499996964,,Chao,fixed
off,p4.2.c,452.0,452.0,450.0,0.0,0.4424778761061947,2.4035156749998805,,Chao,fixed
off,p4.2.d,531.0,531.0,525.5,0.0,1.0357815442561205,3.0768802750001214,,Chao,fixed
off,p4.2.e,618.0,602.0,601.0,2.588996763754045,2.750809061488673,4.216785025000263,,Chao,fixed
off,p4.2.f,687.0,678.0,676.75,1.3100436681222707,1.4919941775836973,4.409922099999903,,Chao,fixed
off,p4.2.g,757.0,745.0,736.5,1.5852047556142668,2.7080581241743724,5.483036699999957,,Chao,fixed
off,p4.2.h,835.0,807.0,803.0,3.3532934131736525,3.8323353293413174,6.752527325000074,,Chao,fixed
off,p4.2.i,918.0,892.0,853.75,2.832244008714597,6.998910675381263,6.859093649999977,,Chao,fixed
off,p4.2.j,965.0,916.0,909.5,5.077720207253886,5.751295336787565,7.1806743249994724,,Chao,fixed
off,p4.2.k,1022.0,972.0,958.75,4.892367906066537,6.188845401174168,7.467765525000004,,Chao,fixed
off,p4.2.l,1074.0,1041.0,1036.0,3.0726256983240225,3.538175046554935,7.269138274999932,,Chao,fixed
off,p4.2.m,1132.0,1095.0,1071.0,3.2685512367491167,5.3886925795053005,7.838665849999643,,Chao,fixed
off,p4.2.n,1174.0,1132.0,1114.0,3.577512776831346,5.1107325383304945,8.320604224999897,,Chao,fixed
off,p4.2.o,1218.0,1200.0,1178.0,1.477832512315271,3.284072249589491,7.403011924999873,,Chao,fixed
off,p4.2.p,1242.0,1235.0,1218.75,0.5636070853462157,1.8719806763285025,6.345300524999857,,Chao,fixed
off,p4.2.q,1268.0,1255.0,1250.25,1.025236593059937,1.3998422712933754,6.207374200000231,,Chao,fixed
off,p4.2.r,1292.0,1280.0,1276.75,0.9287925696594427,1.1803405572755419,5.655861474999938,,Chao,fixed
off,p4.2.s,1304.0,1296.0,1294.75,0.6134969325153374,0.7093558282208589,5.584907650000105,,Chao,fixed
off,p4.2.t,1306.0,1306.0,1305.0,0.0,0.07656967840735068,5.218466074999924,,Chao,fixed
off,p4.3.c,193.0,193.0,193.0,0.0,0.0,1.212366524999652,,Chao,fixed
off,p4.3.d,335.0,332.0,332.0,0.8955223880597015,0.8955223880597015,1.8212997749997157,,Chao,fixed
off,p4.3.e,468.0,468.0,466.0,0.0,0.42735042735042733,2.289975974999834,,Chao,fixed
off,p4.3.f,579.0,579.0,573.75,0.0,0.9067357512953368,2.8812764999997853,,Chao,fixed
off,p4.3.g,653.0,645.0,637.75,1.225114854517611,2.335375191424196,3.4585407749996193,,Chao,fixed
off,p4.3.h,729.0,723.0,712.0,0.823045267489712,2.3319615912208507,4.1382096999996065,,Chao,fixed
off,p4.3.i,809.0,799.0,783.75,1.2360939431396787,3.1211372064276883,4.299276424999789,,Chao,fixed
off,p4.3.j,861.0,854.0,840.0,0.8130081300813008,2.4390243902439024,4.993135449999954,,Chao,fixed
off,p4.3.k,919.0,908.0,901.0,1.1969532100108813,1.9586507072905333,5.713636200000565,,Chao,fixed
off,p4.3.l,979.0,968.0,959.75,1.1235955056179776,1.9662921348314606,5.31927772500012,,Chao,fixed
off,p4.3.m,1063.0,1063.0,1009.75,0.0,5.009407337723424,5.324271224999393,,Chao,fixed
off,p4.3.n,1121.0,1083.0,1059.25,3.389830508474576,5.508474576271187,5.563477700000021,,Chao,fixed
off,p4.3.o,1172.0,1137.0,1117.5,2.986348122866894,4.650170648464163,5.679731650000576,,Chao,fixed
off,p4.3.p,1222.0,1202.0,1171.25,1.6366612111292962,4.153027823240589,5.511621399999967,,Chao,fixed
off,p4.3.q,1253.0,1244.0,1223.5,0.7182761372705507,2.3543495610534717,5.526466524999705,,Chao,fixed
off,p4.3.r,1273.0,1263.0,1227.25,0.7855459544383346,3.593872741555381,5.533342999999604,,Chao,fixed
off,p4.3.s,1295.0,1285.0,1255.25,0.7722007722007722,3.0694980694980694,5.111628324999401,,Chao,fixed
