algorithm,instance,bks,best_reward,mean_reward,best_gap,mean_gap,mean_runtime,mean_iterations,dataset,protocol
off,p4.2.a,206.0,206.0,206.0,0.0,0.0,1.6643863000003876,3791.25,Chao,time
off,p4.2.b,341.0,341.0,341.0,0.0,0.0,3.0342774999994617,4184.25,Chao,time
off,p4.2.c,452.0,452.0,451.0,0.0,0.22123893805309736,4.345912799999496,4416.25,Chao,time
off,p4.2.d,531.0,529.0,528.75,0.3766478342749529,0.423728813559322,5.98932672500041,4649.25,Chao,time
off,p4.2.e,618.0,602.0,597.75,2.588996763754045,3.2766990291262137,7.060731050000413,4104.0,Chao,time
off,p4.2.f,687.0,684.0,678.75,0.4366812227074236,1.2008733624454149,8.428461950000383,4544.25,Chao,time
off,p4.2.g,757.0,749.0,741.75,1.0568031704095113,2.0145310435931307,9.767915650000305,4347.0,Chao,time
off,p4.2.h,835.0,812.0,808.25,2.754491017964072,3.2035928143712575,11.735282399999505,4684.25,Chao,time
off,p4.2.i,918.0,872.0,854.5,5.010893246187364,6.917211328976035,12.007861699999467,4224.0,Chao,time
off,p4.2.j,965.0,962.0,925.0,0.31088082901554404,4.1450777202072535,10.964980025000386,4010.25,Chao,time
off,p4.2.k,1022.0,983.0,974.5,3.816046966731898,4.64774951076321,11.848982549999619,4068.25,Chao,time
off,p4.2.l,1074.0,1048.0,1038.75,2.4208566108007448,3.282122905027933,11.72004972500008,3982.5,Chao,time
off,p4.2.m,1132.0,1109.0,1081.75,2.0318021201413425,4.439045936395759,12.09699752500046,3987.75,Chao,time
off,p4.2.n,1174.0,1139.0,1128.75,2.9812606473594547,3.8543441226575808,10.920561925000584,3379.25,Chao,time
off,p4.2.o,1218.0,1201.0,1184.5,1.3957307060755337,2.7504105090311985,11.735556575000373,4232.5,Chao,time
off,p4.2.p,1242.0,1238.0,1221.0,0.322061191626409,1.6908212560386473,10.617621349999808,4121.25,Chao,time
off,p4.2.q,1268.0,1255.0,1249.75,1.025236593059937,1.4392744479495267,9.666685849999794,3901.5,Chao,time
off,p4.2.r,1292.0,1280.0,1277.75,0.9287925696594427,1.1029411764705883,8.761776650000684,3841.0,Chao,time
off,p4.2.s,1304.0,1295.0,1294.0,0.6901840490797546,0.7668711656441718,7.422411125000053,3380.75,Chao,time
off,p4.2.t,1306.0,1306.0,1305.25,0.0,0.05742725880551302,6.7687842250006724,3195.75,Chao,time
off,p4.3.c,193.0,193.0,193.0,0.0,0.0,1.6277693249999174,3289.75,Chao,time
off,p4.3.d,335.0,335.0,334.5,0.0,0.14925373134328357,2.837542850000318,3838.5,Chao,time
off,p4.3.e,468.0,468.0,468.0,0.0,0.0,4.2218609249998735,4510.75,Chao,time
off,p4.3.f,579.0,579.0,572.75,0.0,1.079447322970639,4.929042449999542,4374.0,Chao,time
off,p4.3.g,653.0,653.0,647.5,0.0,0.8422664624808576,5.864318500000081,4224.25,Chao,time
off,p4.3.h,729.0,723.0,719.0,0.823045267489712,1.3717421124828533,6.901613574999828,4307.25,Chao,time
off,p4.3.i,809.0,809.0,799.25,0.0,1.2051915945611866,8.420659299999443,4483.75,Chao,time
off,p4.3.j,861.0,857.0,852.25,0.4645760743321719,1.016260162601626,9.567117600000074,4751.0,Chao,time
off,p4.3.k,919.0,904.0,899.25,1.632208922742111,2.1490750816104462,9.651015174999884,4359.75,Chao,time
off,p4.3.l,979.0,978.0,960.25,0.10214504596527069,1.9152196118488254,9.177567575000012,4228.0,Chao,time
