algorithm,instance,bks,best_reward,mean_reward,best_gap,mean_gap,mean_runtime,mean_iterations,dataset,protocol
off,bier127_gen1_m2,106.0,105.0,104.25,0.9433962264150944,1.650943396226415,16.89406014999986,4013.5,Dang,time
off,bier127_gen1_m3,103.0,102.0,101.25,0.970873786407767,1.6990291262135921,13.724576374999742,3808.5,Dang,time
off,bier127_gen2_m2,5464.0,5393.0,5390.5,1.2994143484626648,1.3451683748169838,24.67072352499963,3617.75,Dang,time
off,bier127_gen2_m3,5393.0,5136.0,5118.0,4.765436677174114,5.099202670127943,16.33103787500113,4003.75,Dang,time
off,bier127_gen2_m4,5123.0,5117.0,5047.75,0.11711887565879367,1.4688658988873706,15.900253149999116,4303.25,Dang,time
off,bier127_gen3_m2,2885.0,2875.0,2826.5,0.3466204506065858,2.027729636048527,26.236643324997203,3100.25,Dang,time
off,bier127_gen3_m3,2706.0,2674.0,2596.25,1.1825572801182558,4.05580192165558,22.993968949998816,3320.5,Dang,time
off,bier127_gen3_m4,2402.0,2372.0,2341.75,1.2489592006661117,2.5083263946711076,17.88579645000027,3644.25,Dang,time
off,cmt101c_m3,1300.0,1270.0,1270.0,2.3076923076923075,2.3076923076923075,9.039654524998696,4536.0,Dang,time
off,cmt151b_m3,1385.0,1369.0,1366.75,1.1552346570397112,1.3176895306859207,15.45874677500069,4062.25,Dang,time
off,cmt151c_m2,1964.0,1940.0,1923.75,1.2219959266802445,2.04938900203666,22.82519977499942,3611.75,Dang,time
off,cmt151c_m3,1916.0,1890.0,1877.25,1.3569937369519833,2.0224425887265136,19.19181374999789,4007.0,Dang,time
off,cmt151c_m4,1880.0,1839.0,1809.5,2.1808510638297873,3.75,16.387207099998705,4034.5,Dang,time
off,cmt200b_m2,2096.0,2053.0,2017.25,2.051526717557252,3.7571564885496183,37.56322750000072,3617.5,Dang,time
off,cmt200b_m3,2019.0,1945.0,1908.25,3.6651807825656264,5.485388806339772,27.60077965000164,4109.5,Dang,time
off,cmt200b_m4,1894.0,1784.0,1758.0,5.807814149947202,7.1805702217529035,22.70882100000381,4338.25,Dang,time
off,cmt200c_m2,2818.0,2747.0,2736.5,2.5195173882185946,2.8921220723917673,46.62173779999648,3631.75,Dang,time
off,cmt200c_m3,2766.0,2702.0,2695.0,2.3138105567606653,2.566883586406363,35.96722452500035,4012.0,Dang,time
off,cmt200c_m4,2712.0,2656.0,2643.25,2.0648967551622417,2.535029498525074,32.19779847499922,4119.5,Dang,time
off,eil101b_m3,916.0,901.0,890.75,1.6375545851528384,2.756550218340611,6.978887549999854,4054.0,Dang,time
off,eil101c_m2,1305.0,1297.0,1292.25,0.6130268199233716,0.9770114942528736,10.789286225000978,4135.75,Dang,time
off,eil101c_m3,1251.0,1242.0,1228.25,0.7194244604316546,1.818545163868905,9.1754377749985,4168.0,Dang,time
off,gil262_gen1_m3,101.0,99.0,98.75,1.9801980198019802,2.227722772277228,24.748831225000686,3721.75,Dang,time
off,gil262_gen1_m4,78.0,77.0,77.0,1.2820512820512822,1.2820512820512822,17.57669480000004,3315.75,Dang,time
off,gil262_gen2_m2,7498.0,7124.0,6964.5,4.987996799146439,7.115230728194185,58.90248322499792,3676.0,Dang,time
off,gil262_gen2_m3,5615.0,5458.0,5403.5,2.796081923419412,3.7666963490650045,27.69877489999999,3522.5,Dang,time
off,gil262_gen3_m2,7183.0,6750.0,6627.25,6.028121954615063,7.737017959070027,55.21133397500125,3631.0,Dang,time
off,gil262_gen3_m4,2507.0,2443.0,2374.75,2.5528520143597926,5.275229357798165,21.035452824999084,3852.5,Dang,time
off,gil262a_m2,4078.0,3850.0,3830.75,5.590975968612065,6.063021088769005,22.131065750001653,3911.5,Dang,time
off,gil262a_m4,3175.0,3124.0,3079.5,1.6062992125984252,3.0078740157480315,12.423773124997751,3386.75,Dang,time
off,gil262b_m2,8081.0,7615.0,7534.5,5.7666130429402305,6.7627768840490035,52.076020000000426,3461.75,Dang,time
off,gil262b_m3,7585.0,7075.0,6819.5,6.723796967699407,10.09228740936058,39.25147905000085,3164.75,Dang,time
off,gil262b_m4,6781.0,6471.0,6403.25,4.57159710957086,5.570712284323846,31.073523325003407,3546.25,Dang,time
off,gil262c_m2,11030.0,10720.0,10642.25,2.8105167724388034,3.515412511332729,68.25454547499976,3173.25,Dang,time
off,gil262c_m3,10757.0,10360.0,10196.25,3.6906200613553963,5.212884633262062,52.81038515,3194.75,Dang,time
off,gil262c_m4,10281.0,9301.0,9134.0,9.532146678338682,11.156502285769866,45.74256557500121,3720.0,Dang,time
off,gr229_gen1_m4,223.0,220.0,220.0,1.345291479820628,1.345291479820628,33.0036856250008,2907.75,Dang,time
off,gr229_gen2_m3,11566.0,11529.0,11411.75,0.3199031644475186,1.3336503544872904,27.17087199999878,2688.0,Dang,time
off,gr229_gen2_m4,11355.0,11120.0,11120.0,2.0695728753852927,2.0695728753852927,42.38737792500251,3341.25,Dang,time
off,gr229_gen3_m3,8056.0,7999.0,7958.0,0.7075471698113207,1.2164846077457796,26.123289474999183,2922.25,Dang,time
off,gr229_gen3_m4,7651.0,7355.0,7355.0,3.868775323487126,3.868775323487126,51.61097345000235,3403.25,Dang,time
off,kroA150_gen2_m2,4335.0,4208.0,4203.25,2.9296424452133794,3.0392156862745097,22.627232675000414,4083.75,Dang,time
off,kroA150_gen3_m3,2726.0,2521.0,2503.0,7.52017608217168,8.18048422597212,15.144530524999936,3665.5,Dang,time
off,kroA200_gen1_m4,81.0,80.0,80.0,1.2345679012345678,1.2345679012345678,14.563031649999175,3661.5,Dang,time
off,kroB200_gen1_m2,111.0,111.0,108.75,0.0,2.027027027027027,25.558857399999397,4230.25,Dang,time
off,kroB200_gen2_m2,6185.0,6180.0,5941.0,0.08084074373484236,3.945028294260307,37.67123940000056,3786.75,Dang,time
off,kroB200_gen2_m4,4944.0,4940.0,4663.0,0.08090614886731391,5.683656957928803,20.515515750001214,4610.25,Dang,time
off,kroB200_gen3_m2,4765.0,3854.0,3759.25,19.11857292759706,21.107030430220355,22.868676699999924,2640.25,Dang,time
off,kroB200_gen3_m3,3028.0,2924.0,2912.0,3.4346103038309117,3.830911492734478,25.518091275000188,3630.5,Dang,time
off,lin318_gen1_m2,180.0,175.0,170.75,2.7777777777777777,5.138888888888889,60.04389430000083,3890.25,Dang,time
off,lin318_gen1_m3,149.0,148.0,146.75,0.6711409395973155,1.5100671140939597,42.91217775000223,3743.0,Dang,time
off,lin318_gen2_m2,9544.0,8620.0,8536.75,9.681475272422464,10.553751047778709,95.96167487499952,3362.75,Dang,time
off,lin318_gen2_m3,7807.0,7709.0,7301.75,1.2552837197386961,6.47175611630588,52.04285142500157,3413.75,Dang,time
off,lin318_gen3_m2,7936.0,6554.0,6525.0,17.414314516129032,17.779737903225808,77.99201447500127,1985.25,Dang,time
off,lin318_gen3_m4,3797.0,3746.0,3743.0,1.3431656570977086,1.422175401632868,37.49609812500057,3160.0,Dang,time
off,pr136_gen1_m2,63.0,63.0,62.25,0.0,1.1904761904761905,10.180499699999928,4013.5,Dang,time
off,pr136_gen2_m2,3646.0,3525.0,3514.25,3.3187054306088863,3.6135490948985187,12.860703399999693,4349.0,Dang,time
off,pr264_gen1_m4,107.0,107.0,106.5,0.0,0.4672897196261682,26.243915000000925,3505.0,Dang,time
off,pr264_gen2_m2,6635.0,6627.0,6567.75,0.12057272042200452,1.0135644310474754,61.242198425001334,3496.5,Dang,time
off,pr264_gen2_m3,6420.0,6370.0,6360.75,0.778816199376947,0.9228971962616822,37.10757204999936,3749.5,Dang,time
off,pr264_gen2_m4,5584.0,5561.0,5487.75,0.41189111747851004,1.7236747851002865,37.040338124998016,4737.0,Dang,time
off,pr264_gen3_m3,2772.0,2747.0,2725.25,0.9018759018759018,1.6865079365079365,41.14284869999938,3580.0,Dang,time
off,pr299_gen1_m2,139.0,139.0,138.0,0.0,0.7194244604316546,44.61506772499706,3874.0,Dang,time
