instance,K,seed_count,mean_gap_percent,mean_runtime_seconds,k100_gap_percent,paired_gap_difference_vs_k100_pp
bier127_gen1_m3,6,2,0.970873786407767,89.07357300000001,0.4854368932038835,0.4854368932038835
bier127_gen1_m3,20,2,1.4563106796116505,101.78551385000003,0.4854368932038835,0.970873786407767
bier127_gen1_m3,100,2,0.4854368932038835,112.69354009999996,0.4854368932038835,0.0
bier127_gen2_m3,6,2,3.2171333209716297,68.81430319999993,1.2145373632486556,2.002595957722974
bier127_gen2_m3,20,2,4.385314296310032,140.15500530000008,1.2145373632486556,3.170776933061376
bier127_gen2_m3,100,2,1.2145373632486556,130.777694,1.2145373632486556,0.0
bier127_gen3_m3,6,2,2.7900960827790096,93.87443795000002,1.1271249076127126,1.662971175166297
bier127_gen3_m3,20,2,1.6260162601626016,183.62449565000009,1.1271249076127126,0.49889135254988903
bier127_gen3_m3,100,2,1.1271249076127126,184.92733954999994,1.1271249076127126,0.0
pr299_gen1_m3,6,2,1.8018018018018016,95.57930649999992,1.3513513513513513,0.4504504504504503
pr299_gen1_m3,20,2,1.3513513513513513,146.22188990000006,1.3513513513513513,0.0
pr299_gen1_m3,100,2,1.3513513513513513,238.42959080000003,1.3513513513513513,0.0
pr299_gen2_m3,6,2,1.927550681289465,141.6492075,1.9192422731804588,0.008308408109006127
pr299_gen2_m3,20,2,3.3399800598205385,210.98734334999983,1.9192422731804588,1.4207377866400797
pr299_gen2_m3,100,2,1.9192422731804588,407.24797464999995,1.9192422731804588,0.0
pr299_gen3_m3,6,2,8.030095759233927,163.07340565000004,4.7879616963064295,3.242134062927497
pr299_gen3_m3,20,2,5.868673050615595,256.36658339999985,4.7879616963064295,1.080711354309165
pr299_gen3_m3,100,2,4.7879616963064295,339.55075805,4.7879616963064295,0.0
rd400_gen1_m3,6,2,5.357142857142858,353.61367745000007,5.803571428571429,-0.4464285714285712
rd400_gen1_m3,20,2,4.464285714285714,620.7225204500003,5.803571428571429,-1.3392857142857144
rd400_gen1_m3,100,2,5.803571428571429,1448.6953690999997,5.803571428571429,0.0
rd400_gen2_m3,6,2,10.544836311877274,628.6092583999998,7.03384469397438,3.510991617902894
rd400_gen2_m3,20,2,9.129368970425432,1024.3142721500003,7.03384469397438,2.0955242764510515
rd400_gen2_m3,100,2,7.03384469397438,3115.1468545000002,7.03384469397438,0.0
rd400_gen3_m3,6,2,9.39513703926454,503.75458579999986,7.603746026290919,1.7913910129736212
rd400_gen3_m3,20,2,8.501589483632614,874.70499995,7.603746026290919,0.8978434573416951
rd400_gen3_m3,100,2,7.603746026290919,1896.4706027000002,7.603746026290919,0.0
