Benchmark,Component_Contrast,Reference_Config,Comparator_Config,Mean_Gap_Reference,Mean_Gap_Comparator,W,p,Rank_Biserial,Wins,Ties,Losses,Holm_Adjusted_P_Value
Chao,Ranking,density_p3_c2_l1,random_p3_c2_l1,0.8764660123519301,1.4765949899429238,6.5,0.4003808031520797,0.38095238095238093,3,3,3,1.0
Chao,Bounded 2-opt,density_p3_c2_l1,density_p3_c2_l0,0.8764660123519301,0.4454315295933094,0.0,0.31731050786291415,-1.0,0,8,1,1.0
Chao,P=1,density_p3_c2_l1,density_p1_c2_l1,0.8764660123519301,1.315977218751186,9.0,0.39718047121992006,0.35714285714285715,4,2,3,1.0
Chao,P=5,density_p3_c2_l1,density_p5_c2_l1,0.8764660123519301,0.7137551215789578,9.0,0.7524936490337828,-0.14285714285714285,2,3,4,1.0
Chao,C=1,density_p3_c2_l1,density_p3_c1_l1,0.8764660123519301,0.9534404492171211,4.0,0.7150006546880893,-0.2,1,5,3,1.0
Chao,C=3,density_p3_c2_l1,density_p3_c3_l1,0.8764660123519301,1.3471263879154214,9.0,0.7531523647659145,-0.14285714285714285,3,3,3,1.0
Dang,Ranking,density_p3_c2_l1,random_p3_c2_l1,4.623186596503775,5.755438006315383,5.0,0.0390625,0.7777777777777778,7,0,2,0.234375
Dang,Bounded 2-opt,density_p3_c2_l1,density_p3_c2_l0,4.623186596503775,3.9805816819321334,8.0,0.16142946236708333,-0.5555555555555556,2,1,6,0.6457178494683333
Dang,P=1,density_p3_c2_l1,density_p1_c2_l1,4.623186596503775,4.466910799327773,18.0,0.65234375,0.2,6,0,3,1.0
Dang,P=5,density_p3_c2_l1,density_p5_c2_l1,4.623186596503775,4.8731026756322064,16.0,0.779434528427275,0.1111111111111111,4,1,4,1.0
Dang,C=1,density_p3_c2_l1,density_p3_c1_l1,4.623186596503775,4.48450189746936,9.0,0.7531523647659145,-0.14285714285714285,3,3,3,1.0
Dang,C=3,density_p3_c2_l1,density_p3_c3_l1,4.623186596503775,4.8716097959877205,0.0,0.043114446783075355,1.0,5,4,0,0.234375
