Benchmark,size,instance,bks,config,role,ranking,positions,ejections,passes,attempts,seed,iterations,best_reward,gap_percent,total_distance,runtime_seconds,feasible,repair_calls,calls_with_blocked_customers,blocked_customers,attempted_blocked_customers,successful_commits,success_rate_per_attempted_customer,success_rate_per_repair_call,success_c0,success_c1,success_c2,success_c3,bounded_two_opt_trial_calls,successful_commits_using_bounded_two_opt,bounded_two_opt_share_of_successes,mean_net_reward_gain_per_success,net_reward_gain_sum,new_best_candidates_with_successful_repair,successful_commits_in_new_best_candidates,module_seconds,total_solve_seconds,module_runtime_share,Batch_Workers,Source_Record
Chao,medium,p5.2.q,1195.0,density_p1_c2_l1,P_sensitivity,removal_density,1,2,1,100,0,2500,1195.0,0.0,84.70820393249937,3.5086913000013737,True,2549,2549,38393,38393,2378,0.0619383741827937,0.932914868575912,934,1281,163,0,46508,136,0.0571909167367535,19.930613961312027,47395.0,10,37,1.052569200113794,3.508262899998954,0.3000257478178468,2,06_mechanism_components/mechanism_runs.csv
Chao,medium,p5.2.q,1195.0,density_p1_c2_l1,P_sensitivity,removal_density,1,2,1,100,1,2500,1195.0,0.0,84.70820393249937,3.514719999999216,True,2541,2541,37721,37721,2337,0.0619548792449829,0.9197166469893744,1060,1134,143,0,46897,151,0.0646127513906718,20.94351732991014,48945.0,9,20,1.0635620999964883,3.5142691000000923,0.3026410527288478,2,06_mechanism_components/mechanism_runs.csv
Chao,medium,p5.3.s,1190.0,density_p1_c2_l1,P_sensitivity,removal_density,1,2,1,100,0,2500,1190.0,0.0,94.03943376208696,3.472453799997311,True,2553,2553,35847,35847,2375,0.0662538008759449,0.9302781041911476,580,1535,260,0,57719,155,0.0652631578947368,15.507368421052632,36830.0,12,27,1.0997377000057895,3.4720761999997194,0.3167377778188965,2,06_mechanism_components/mechanism_runs.csv
Chao,medium,p5.3.s,1190.0,density_p1_c2_l1,P_sensitivity,removal_density,1,2,1,100,1,2500,1190.0,0.0,94.03943376208696,3.5472797000002174,True,2566,2566,36915,36915,2097,0.0568061763510768,0.8172252533125487,538,1269,290,0,64665,250,0.1192179303767286,15.684310920362424,32890.0,13,25,1.1645475001641898,3.546890900001017,0.3283291008933643,2,06_mechanism_components/mechanism_runs.csv
Chao,medium,p5.4.t,1160.0,density_p1_c2_l1,P_sensitivity,removal_density,1,2,1,100,0,2500,1100.0,5.172413793103448,97.1374106514146,3.460588200003258,True,2586,2586,35349,35349,1151,0.0325610342583948,0.4450889404485692,372,759,20,0,57025,142,0.1233709817549956,17.332754126846222,19950.0,1,2,1.0406193998824165,3.460243099998479,0.3007359222486055,2,06_mechanism_components/mechanism_runs.csv
Chao,medium,p5.4.t,1160.0,density_p1_c2_l1,P_sensitivity,removal_density,1,2,1,100,1,2500,1105.0,4.741379310344827,97.6006335146412,3.406377600000269,True,2596,2596,35068,35068,1120,0.0319379491274096,0.4314329738058551,366,726,28,0,56350,130,0.1160714285714285,17.1875,19250.0,2,7,1.0308668001198384,3.4059949000002234,0.3026624614498897,2,06_mechanism_components/mechanism_runs.csv
Chao,small,p6.2.l,1116.0,density_p1_c2_l1,P_sensitivity,removal_density,1,2,1,100,0,2500,1116.0,0.0,67.88225099390857,3.55950970000049,True,2524,2524,34336,34336,3053,0.0889154240447343,1.2095879556259903,1016,1914,123,0,36866,146,0.0478218146085817,16.50245660006551,50382.0,8,19,1.0148774999361194,3.5590329000006022,0.2851554139710109,2,06_mechanism_components/mechanism_runs.csv
Chao,small,p6.2.l,1116.0,density_p1_c2_l1,P_sensitivity,removal_density,1,2,1,100,1,2500,1116.0,0.0,67.88225099390857,3.548298700003216,True,2525,2525,33983,33983,2990,0.0879851690551157,1.184158415841584,982,1909,99,0,36761,125,0.0418060200668896,16.107692307692307,48162.0,12,30,1.0165471000982509,3.547809399999096,0.2865281038204898,2,06_mechanism_components/mechanism_runs.csv
Chao,small,p6.3.k,894.0,density_p1_c2_l1,P_sensitivity,removal_density,1,2,1,100,0,2500,894.0,0.0,64.64116191305585,3.062639600000693,True,2505,2505,34761,34761,1568,0.0451080233595121,0.6259481037924152,405,1067,96,0,48244,104,0.0663265306122449,14.823979591836734,23244.0,16,35,0.9291715999424924,3.062235600002168,0.3034291678739005,2,06_mechanism_components/mechanism_runs.csv
Chao,small,p6.3.k,894.0,density_p1_c2_l1,P_sensitivity,removal_density,1,2,1,100,1,2500,894.0,0.0,64.06467069051438,3.0401053999994474,True,2508,2508,34626,34626,1536,0.0443597296828972,0.6124401913875598,309,1132,95,0,45224,87,0.056640625,15.4375,23712.0,18,43,0.9094185000030848,3.0397240000020247,0.2991779845809945,2,06_mechanism_components/mechanism_runs.csv
