Protocol,Benchmark,Algorithm,Instances,Runs,Feasible_Runs,Best_Seed_Gap_Percent,Mean_Seed_Gap_Percent,BKS_Hits,Wall_Clock_Runtime_Per_Seed,Mean_Completed_Iterations,Within_Budget_Runs
Fixed iteration,Chao,Ejection OFF,157,628,628,0.8825872149323395,1.9228027270143357,73,3.4224638921974377,2500.0,
Fixed iteration,Chao,Ejection ON,157,628,628,0.3571279790306099,0.942921158250735,99,5.96984152818473,2500.0,
Fixed iteration,Chao,GRASP,157,628,628,6.992912809547662,8.074924274789037,13,0.5825707589172041,2500.0,
Fixed iteration,Chao,ILS,157,628,628,10.144720206742413,10.797780050624752,5,2.322242919426748,2500.0,
Fixed iteration,Chao,VNS,157,628,628,11.28732373353325,11.572741467304603,4,1.47991173471334,2500.0,
Fixed iteration,Dang,Ejection OFF,82,328,328,3.706873873644739,4.9982966262717525,2,29.923488382317096,2500.0,
Fixed iteration,Dang,Ejection ON,82,328,328,1.820292373475494,3.0380345234228865,8,42.83673558262197,2500.0,
Fixed iteration,Dang,GRASP,82,328,328,14.287524399223646,16.079066512448932,0,1.3335118368902663,2500.0,
Fixed iteration,Dang,ILS,82,328,328,16.646266038701977,17.304430154190282,0,24.265210980792634,2500.0,
Fixed iteration,Dang,VNS,82,328,328,17.17113940137469,17.68500702908427,0,13.312563871646478,2500.0,
Equal time,Chao,Ejection OFF,157,628,628,0.6836617479067075,1.570409761825253,82,5.584131310031895,4062.183121019108,628.0
Equal time,Chao,Ejection ON,157,628,628,0.3585644920267795,0.955126690823385,103,5.639705909235719,2318.082802547771,628.0
Equal time,Chao,GRASP,157,628,628,5.878424547442829,6.504786050926166,17,5.720104769904584,24273.216560509554,628.0
Equal time,Chao,ILS,157,628,628,9.960225667212042,10.645236929762119,5,5.716663515127357,9281.238853503184,628.0
Equal time,Chao,PyVRP,157,628,628,4.8093228698501225,7.869198303615672,19,5.723780039012735,18810.31210191083,628.0
Equal time,Chao,VNS,157,628,628,11.216656235377501,11.514883008906569,5,5.716742955254822,12776.628980891719,628.0
Equal time,Dang,Ejection OFF,82,328,328,3.531433332731918,4.7419954035277145,4,41.67646908658549,3647.756097560976,328.0
Equal time,Dang,Ejection ON,82,328,328,1.931425876119631,3.1304078450989867,9,42.0426380243899,2513.5304878048782,328.0
Equal time,Dang,GRASP,82,328,328,11.210286609994846,12.391582657564705,0,42.53561274176831,72622.61890243902,328.0
Equal time,Dang,ILS,82,328,328,16.511407207202833,17.153315217543348,0,42.51818517896331,6620.057926829269,328.0
Equal time,Dang,PyVRP,82,328,328,19.44663986179583,22.627686828508867,0,42.55781733719491,253956.59451219512,328.0
Equal time,Dang,VNS,82,328,328,17.168801402925883,17.642546524606672,0,42.518055694207405,11436.719512195123,328.0
