Protocol,Algorithm,Instance,Seed,Reference_Iterations,Budget_Seconds,Effective_Time_Limit_Seconds,Completed_Iterations,Reward,BKS,BKS_Gap_Percent_Source,Total_Distance,Visited_Customers,Runtime_Seconds,Runtime_Slack_Seconds,Within_Budget,Timed_Out,Stop_Status,Feasible,Source_Record
Runtime-budget comparison,Ejection ON fixed-iteration reference,bier127_gen1_m2,0,2500,26.947047625000096,,2500,104.0,106.0,1.8867924528301887,58575.27109459401,,27.732927299999574,,,,fixed_iteration_reference,True,runtime_reference_from_fixed:1
Runtime-budget comparison,Ejection ON fixed-iteration reference,bier127_gen1_m2,1,2500,26.947047625000096,,2500,102.0,106.0,3.7735849056603774,57086.18545069445,,26.72248370000034,,,,fixed_iteration_reference,True,runtime_reference_from_fixed:2
Runtime-budget comparison,Ejection ON fixed-iteration reference,bier127_gen1_m2,2,2500,26.947047625000096,,2500,105.0,106.0,0.9433962264150944,58066.29753296581,,27.013175500000216,,,,fixed_iteration_reference,True,runtime_reference_from_fixed:3
Runtime-budget comparison,Ejection ON fixed-iteration reference,bier127_gen1_m2,3,2500,26.947047625000096,,2500,103.0,106.0,2.830188679245283,58611.19066206626,,26.319604000000254,,,,fixed_iteration_reference,True,runtime_reference_from_fixed:4
Runtime-budget comparison,Ejection ON fixed-iteration reference,bier127_gen1_m3,0,2500,22.197212824999724,,2500,102.0,103.0,0.970873786407767,58371.867980361814,,22.32604469999933,,,,fixed_iteration_reference,True,runtime_reference_from_fixed:5
Runtime-budget comparison,Ejection ON fixed-iteration reference,bier127_gen1_m3,1,2500,22.197212824999724,,2500,102.0,103.0,0.970873786407767,58452.52500027385,,22.296099899999717,,,,fixed_iteration_reference,True,runtime_reference_from_fixed:6
Runtime-budget comparison,Ejection ON fixed-iteration reference,bier127_gen1_m3,2,2500,22.197212824999724,,2500,101.0,103.0,1.941747572815534,56597.475316419535,,21.151575399999274,,,,fixed_iteration_reference,True,runtime_reference_from_fixed:7
Runtime-budget comparison,Ejection ON fixed-iteration reference,bier127_gen1_m3,3,2500,22.197212824999724,,2500,101.0,103.0,1.941747572815534,57659.98185873368,,23.015131300000576,,,,fixed_iteration_reference,True,runtime_reference_from_fixed:8
Runtime-budget comparison,Ejection ON fixed-iteration reference,bier127_gen2_m2,0,2500,39.04240269999991,,2500,5407.0,5464.0,1.0431918008784773,58925.902848167156,,40.26216219999969,,,,fixed_iteration_reference,True,runtime_reference_from_fixed:9
Runtime-budget comparison,Ejection ON fixed-iteration reference,bier127_gen2_m2,1,2500,39.04240269999991,,2500,5431.0,5464.0,0.6039531478770132,58820.97854448079,,37.9047558000002,,,,fixed_iteration_reference,True,runtime_reference_from_fixed:10
