Protocol,Benchmark,Algorithm,Instance,Seed,Reference_Iterations,Budget_Seconds,Effective_Time_Limit_Seconds,Completed_Iterations,Reward,BKS,BKS_Gap_Percent,Total_Distance,Visited_Customers,Runtime_Seconds,Runtime_Slack_Seconds,Within_Budget,Feasible,Batch_Workers,Source_Record
Runtime budget baseline,Chao,GRASP,p4.2.a,0,2500,2.09690492499999,1.8469049249999896,15950,206.0,206.0,0.0,49.62527483598225,10,1.8470461999968395,0.2498587250031505,True,True,2,05_runtime_budget_baselines/raw_runs.csv
Runtime budget baseline,Chao,GRASP,p4.2.a,1,2500,2.09690492499999,1.8469049249999896,15805,206.0,206.0,0.0,49.62527483598225,10,1.8472312000012607,0.249673724998729,True,True,2,05_runtime_budget_baselines/raw_runs.csv
Runtime budget baseline,Chao,GRASP,p4.2.a,2,2500,2.09690492499999,1.8469049249999896,16045,206.0,206.0,0.0,49.62527483598225,10,1.8470806000004811,0.2498243249995084,True,True,2,05_runtime_budget_baselines/raw_runs.csv
Runtime budget baseline,Chao,GRASP,p4.2.a,3,2500,2.09690492499999,1.8469049249999896,15984,206.0,206.0,0.0,49.62527483598225,10,1.847011300000304,0.2498936249996859,True,True,2,05_runtime_budget_baselines/raw_runs.csv
Runtime budget baseline,Chao,GRASP,p4.2.b,0,2500,3.48707622500001,3.23707622500001,24653,332.0,341.0,2.6392961876832843,58.88766015430588,20,3.237221600000339,0.2498546249996707,True,True,2,05_runtime_budget_baselines/raw_runs.csv
Runtime budget baseline,Chao,GRASP,p4.2.b,1,2500,3.48707622500001,3.23707622500001,24552,340.0,341.0,0.2932551319648094,59.35666726150848,21,3.2374624999974912,0.2496137250025185,True,True,2,05_runtime_budget_baselines/raw_runs.csv
Runtime budget baseline,Chao,GRASP,p4.2.b,2,2500,3.48707622500001,3.23707622500001,24383,321.0,341.0,5.865102639296188,58.64705249311645,19,3.237473499997577,0.2496027250024326,True,True,2,05_runtime_budget_baselines/raw_runs.csv
Runtime budget baseline,Chao,GRASP,p4.2.b,3,2500,3.48707622500001,3.23707622500001,24367,322.0,341.0,5.571847507331379,58.83459415997284,21,3.237315700000181,0.2497605249998287,True,True,2,05_runtime_budget_baselines/raw_runs.csv
Runtime budget baseline,Chao,GRASP,p4.2.c,0,2500,4.77421177500014,4.52421177500014,29903,432.0,452.0,4.424778761061947,69.84717293261758,27,4.524349100000109,0.2498626750000312,True,True,2,05_runtime_budget_baselines/raw_runs.csv
Runtime budget baseline,Chao,GRASP,p4.2.c,1,2500,4.77421177500014,4.52421177500014,29886,424.0,452.0,6.1946902654867255,69.28394275594472,26,4.524342799999431,0.2498689750007088,True,True,2,05_runtime_budget_baselines/raw_runs.csv
Runtime budget baseline,Chao,GRASP,p4.2.c,2,2500,4.77421177500014,4.52421177500014,29806,431.0,452.0,4.646017699115045,69.28516190339931,28,4.524488700000802,0.2497230749993377,True,True,2,05_runtime_budget_baselines/raw_runs.csv
Runtime budget baseline,Chao,GRASP,p4.2.c,3,2500,4.77421177500014,4.52421177500014,29970,432.0,452.0,4.424778761061947,69.84717293261758,27,4.524386799999775,0.2498249750003651,True,True,2,05_runtime_budget_baselines/raw_runs.csv
Runtime budget baseline,Chao,GRASP,p4.2.d,0,2500,6.292604850000089,6.042604850000089,35155,498.0,531.0,6.214689265536723,76.8944790129797,30,6.042781200001627,0.2498236499984614,True,True,2,05_runtime_budget_baselines/raw_runs.csv
Runtime budget baseline,Chao,GRASP,p4.2.d,1,2500,6.292604850000089,6.042604850000089,35173,490.0,531.0,7.721280602636535,79.65676957066226,30,6.0428406999999424,0.2497641500001464,True,True,2,05_runtime_budget_baselines/raw_runs.csv
Runtime budget baseline,Chao,GRASP,p4.2.d,2,2500,6.292604850000089,6.042604850000089,35076,494.0,531.0,6.967984934086629,79.42423783322121,32,6.04281919999994,0.2497856500001489,True,True,2,05_runtime_budget_baselines/raw_runs.csv
Runtime budget baseline,Chao,GRASP,p4.2.d,3,2500,6.292604850000089,6.042604850000089,35104,493.0,531.0,7.1563088512241055,79.18988845446506,31,6.04273529999773,0.2498695500023586,True,True,2,05_runtime_budget_baselines/raw_runs.csv
Runtime budget baseline,Chao,GRASP,p4.2.e,0,2500,7.438603824999973,7.188603824999973,37462,570.0,618.0,7.766990291262136,89.04826887323483,39,7.18873750000057,0.2498663249994024,True,True,2,05_runtime_budget_baselines/raw_runs.csv
Runtime budget baseline,Chao,GRASP,p4.2.e,1,2500,7.438603824999973,7.188603824999973,37469,563.0,618.0,8.89967637540453,89.7204020320393,40,7.188822100000834,0.2497817249991385,True,True,2,05_runtime_budget_baselines/raw_runs.csv
Runtime budget baseline,Chao,GRASP,p4.2.e,2,2500,7.438603824999973,7.188603824999973,37442,563.0,618.0,8.89967637540453,88.555680694767,39,7.188841499999398,0.2497623250005745,True,True,2,05_runtime_budget_baselines/raw_runs.csv
Runtime budget baseline,Chao,GRASP,p4.2.e,3,2500,7.438603824999973,7.188603824999973,37410,572.0,618.0,7.44336569579288,89.15339735179259,38,7.188958400001866,0.249645424998107,True,True,2,05_runtime_budget_baselines/raw_runs.csv
Runtime budget baseline,Chao,GRASP,p4.2.f,0,2500,8.789560700000038,8.539560700000038,39877,634.0,687.0,7.714701601164483,97.63446728259828,42,8.539766600002622,0.2497940999974162,True,True,2,05_runtime_budget_baselines/raw_runs.csv
Runtime budget baseline,Chao,GRASP,p4.2.f,1,2500,8.789560700000038,8.539560700000038,39980,635.0,687.0,7.569141193595342,98.44886449610864,41,8.539900600000692,0.2496600999993461,True,True,2,05_runtime_budget_baselines/raw_runs.csv
Runtime budget baseline,Chao,GRASP,p4.2.f,2,2500,8.789560700000038,8.539560700000038,40074,629.0,687.0,8.442503639010189,98.84879277194057,43,8.539812300001358,0.2497483999986798,True,True,2,05_runtime_budget_baselines/raw_runs.csv
Runtime budget baseline,Chao,GRASP,p4.2.f,3,2500,8.789560700000038,8.539560700000038,40016,632.0,687.0,8.005822416302765,98.58631574328903,41,8.539894400000776,0.2496662999992622,True,True,2,05_runtime_budget_baselines/raw_runs.csv
Runtime budget baseline,Chao,GRASP,p4.2.g,0,2500,10.080847449999965,9.830847449999965,42013,680.0,757.0,10.171730515191545,108.13014704815856,46,9.830998699999329,0.2498487500006376,True,True,2,05_runtime_budget_baselines/raw_runs.csv
Runtime budget baseline,Chao,GRASP,p4.2.g,1,2500,10.080847449999965,9.830847449999965,42015,701.0,757.0,7.397622192866579,107.78615066126768,49,9.83111529999951,0.2497321500004545,True,True,2,05_runtime_budget_baselines/raw_runs.csv
Runtime budget baseline,Chao,GRASP,p4.2.g,2,2500,10.080847449999965,9.830847449999965,41992,681.0,757.0,10.039630118890356,108.1878704493956,44,9.831065800000944,0.2497816499990222,True,True,2,05_runtime_budget_baselines/raw_runs.csv
Runtime budget baseline,Chao,GRASP,p4.2.g,3,2500,10.080847449999965,9.830847449999965,42055,683.0,757.0,9.775429326287979,108.0629292004437,47,9.83099619999848,0.249851250001484,True,True,2,05_runtime_budget_baselines/raw_runs.csv
Runtime budget baseline,Chao,GRASP,p4.2.h,0,2500,12.11024479999992,11.86024479999992,46061,754.0,835.0,9.70059880239521,116.40865840622396,53,11.860499599999455,0.2497452000004614,True,True,2,05_runtime_budget_baselines/raw_runs.csv
Runtime budget baseline,Chao,GRASP,p4.2.h,1,2500,12.11024479999992,11.86024479999992,45999,764.0,835.0,8.502994011976048,119.41218968780085,52,11.860507400000644,0.249737399999276,True,True,2,05_runtime_budget_baselines/raw_runs.csv
Runtime budget baseline,Chao,GRASP,p4.2.h,2,2500,12.11024479999992,11.86024479999992,46015,756.0,835.0,9.461077844311378,117.73400194764686,50,11.860431600001904,0.249813199998016,True,True,2,05_runtime_budget_baselines/raw_runs.csv
Runtime budget baseline,Chao,GRASP,p4.2.h,3,2500,12.11024479999992,11.86024479999992,46039,757.0,835.0,9.341317365269461,116.28401256701736,52,11.860585700000229,0.2496590999996897,True,True,2,05_runtime_budget_baselines/raw_runs.csv
Runtime budget baseline,Chao,GRASP,p4.2.i,0,2500,12.539814824999894,12.289814824999894,43489,810.0,918.0,11.764705882352942,126.92285441729756,52,12.289997899999436,0.2498169250004593,True,True,2,05_runtime_budget_baselines/raw_runs.csv
Runtime budget baseline,Chao,GRASP,p4.2.i,1,2500,12.539814824999894,12.289814824999894,43626,798.0,918.0,13.071895424836601,127.91919565548504,54,12.290165700000216,0.2496491249996779,True,True,2,05_runtime_budget_baselines/raw_runs.csv
Runtime budget baseline,Chao,GRASP,p4.2.i,2,2500,12.539814824999894,12.289814824999894,43656,810.0,918.0,11.764705882352942,127.5968734331784,52,12.29010449999987,0.2497103250000236,True,True,2,05_runtime_budget_baselines/raw_runs.csv
Runtime budget baseline,Chao,GRASP,p4.2.i,3,2500,12.539814824999894,12.289814824999894,43728,821.0,918.0,10.566448801742919,128.2296138055945,53,12.290205600002082,0.2496092249978119,True,True,2,05_runtime_budget_baselines/raw_runs.csv
Runtime budget baseline,Chao,GRASP,p4.2.j,0,2500,11.574825825000062,11.324825825000062,36132,856.0,965.0,11.295336787564766,138.1316390771209,61,11.325083600000651,0.2497422249994088,True,True,2,05_runtime_budget_baselines/raw_runs.csv
Runtime budget baseline,Chao,GRASP,p4.2.j,1,2500,11.574825825000062,11.324825825000062,36304,861.0,965.0,10.77720207253886,137.18955610730598,58,11.32514159999846,0.2496842250016016,True,True,2,05_runtime_budget_baselines/raw_runs.csv
Runtime budget baseline,Chao,GRASP,p4.2.j,2,2500,11.574825825000062,11.324825825000062,34553,859.0,965.0,10.984455958549223,138.0991562317817,55,11.325061800002004,0.2497640249980577,True,True,2,05_runtime_budget_baselines/raw_runs.csv
Runtime budget baseline,Chao,GRASP,p4.2.j,3,2500,11.574825825000062,11.324825825000062,34568,861.0,965.0,10.77720207253886,137.18955610730598,58,11.325248799999828,0.2495770250002351,True,True,2,05_runtime_budget_baselines/raw_runs.csv
Runtime budget baseline,Chao,GRASP,p4.2.k,0,2500,12.205864174999988,11.955864174999988,35859,910.0,1022.0,10.95890410958904,147.00055465159582,59,11.956108899998071,0.2497552750019167,True,True,2,05_runtime_budget_baselines/raw_runs.csv
Runtime budget baseline,Chao,GRASP,p4.2.k,1,2500,12.205864174999988,11.955864174999988,35962,908.0,1022.0,11.154598825831702,149.2203815410545,62,11.956369799998356,0.2494943750016318,True,True,2,05_runtime_budget_baselines/raw_runs.csv
Runtime budget baseline,Chao,GRASP,p4.2.k,2,2500,12.205864174999988,11.955864174999988,36502,912.0,1022.0,10.76320939334638,146.88413192941653,61,11.956106400000865,0.2497577749991251,True,True,2,05_runtime_budget_baselines/raw_runs.csv
