Benchmark,Instance,Budget_Seconds
Chao,p4.2.a,2.09690492499999
Chao,p4.2.b,3.48707622500001
Chao,p4.2.c,4.77421177500014
Chao,p4.2.d,6.292604850000089
Chao,p4.2.e,7.438603824999973
Chao,p4.2.f,8.789560700000038
Chao,p4.2.g,10.080847449999965
Chao,p4.2.h,12.11024479999992
Chao,p4.2.i,12.539814824999894
Chao,p4.2.j,11.574825825000062
Chao,p4.2.k,12.205864174999988
Chao,p4.2.l,12.181557350000048
Chao,p4.2.m,12.442858424999711
Chao,p4.2.n,11.478437850000546
Chao,p4.2.o,12.127632750000204
Chao,p4.2.p,10.97855225000012
Chao,p4.2.q,9.957844875000092
Chao,p4.2.r,9.02643665000005
Chao,p4.2.s,7.750026475000368
Chao,p4.2.t,7.1081534000009015
Chao,p4.3.c,2.0727383750004265
Chao,p4.3.d,3.224414650000199
Chao,p4.3.e,4.653492950000327
Chao,p4.3.f,5.310437875000844
Chao,p4.3.g,6.209602974999143
Chao,p4.3.h,7.29379172499921
Chao,p4.3.i,8.776482175000183
Chao,p4.3.j,9.85806404999994
Chao,p4.3.k,10.00703465000015
Chao,p4.3.l,9.492194874999312
Chao,p4.3.m,9.458147900000313
Chao,p4.3.n,9.54739010000003
Chao,p4.3.o,9.600253350000456
Chao,p4.3.p,9.074289999999564
Chao,p4.3.q,9.11141975000055
Chao,p4.3.r,7.666611625000314
Chao,p4.3.s,7.327271674999793
Chao,p4.3.t,6.438867599999412
Chao,p4.4.e,1.968330700000024
Chao,p4.4.f,3.190492099999574
Chao,p4.4.g,4.28755612499981
Chao,p4.4.h,5.165406449999409
Chao,p4.4.i,5.946116475000508
Chao,p4.4.j,6.796319374999712
Chao,p4.4.k,8.15633514999945
Chao,p4.4.l,8.395748049999838
Chao,p4.4.m,9.052383624999491
Chao,p4.4.n,9.472798925000006
Chao,p4.4.o,8.759460175000186
Chao,p4.4.p,9.107960350000212
Chao,p4.4.q,8.05738297500011
Chao,p4.4.r,7.936711199999536
Chao,p4.4.s,7.267381775000558
Chao,p4.4.t,6.894636874999833
Chao,p5.2.h,2.5047752749997017
Chao,p5.2.j,2.6727737749997686
Chao,p5.2.k,3.485266225000487
Chao,p5.2.l,3.2870740499997737
Chao,p5.2.m,4.330206825000005
Chao,p5.2.n,4.147918699999536
Chao,p5.2.o,4.055512049999834
Chao,p5.2.p,4.571272224999575
Chao,p5.2.q,4.418994250000196
Chao,p5.2.r,4.87192237499994
Chao,p5.2.s,4.718533475000186
Chao,p5.2.t,4.595996725000077
Chao,p5.2.u,4.712462625000171
Chao,p5.2.v,4.337932524999815
Chao,p5.2.w,4.114311649999763
Chao,p5.2.x,3.4747546999992664
Chao,p5.2.y,3.2344877250002355
Chao,p5.2.z,2.5367986249998467
Chao,p5.3.k,2.763983450000069
Chao,p5.3.l,2.844513474999985
Chao,p5.3.n,3.4665860499999326
Chao,p5.3.o,3.565351675000329
Chao,p5.3.q,4.059889250000197
Chao,p5.3.r,3.944829324999773
Chao,p5.3.s,4.45866100000012
Chao,p5.3.t,4.4674831249994895
Chao,p5.3.u,4.153086850000818
Chao,p5.3.v,3.92622317499945
Chao,p5.3.w,3.7727935000002617
Chao,p5.3.x,3.480222550000235
Chao,p5.3.y,3.2831944999998086
Chao,p5.3.z,2.795735500000319
Chao,p5.4.m,2.9150769500001843
Chao,p5.4.o,3.3340727249997144
Chao,p5.4.p,3.456452624999656
Chao,p5.4.q,3.827465775000292
Chao,p5.4.r,3.974126500000239
Chao,p5.4.s,4.035515250000117
Chao,p5.4.t,4.042686750000485
Chao,p5.4.u,3.711924900000213
Chao,p5.4.v,3.5700283500000296
Chao,p5.4.w,3.8709747749999215
Chao,p5.4.x,3.6577532249998512
Chao,p5.4.y,3.121943425000154
Chao,p5.4.z,2.5860553499996968
Chao,p6.2.d,2.159697099999903
Chao,p6.2.j,4.075300524999875
Chao,p6.2.l,4.253416824999931
Chao,p6.2.m,3.923616524999943
Chao,p6.2.n,3.613294375000805
Chao,p6.3.g,2.50615095000012
Chao,p6.3.h,3.609835825000573
Chao,p6.3.i,3.885602074999952
Chao,p6.3.k,3.726914500000021
Chao,p6.3.l,3.7523309249991135
Chao,p6.3.m,3.9035824749998937
Chao,p6.3.n,3.487434950000079
Chao,p6.4.j,2.6613815750006324
Chao,p6.4.k,3.4565733000004
Chao,p6.4.l,4.096919024999806
Chao,p7.2.d,1.9407258000001093
