Protocol,Benchmark,Algorithm,Instance,Seed,Reference_Iterations,Budget_Seconds,Effective_Time_Limit_Seconds,Completed_Iterations,Reward,BKS,BKS_Gap_Percent,Total_Distance,Visited_Customers,Runtime_Seconds,Runtime_Slack_Seconds,Within_Budget,Timed_Out,Stop_Status,Feasible,Batch_Workers,Source_Record
Symmetric wall clock,Chao,Ejection OFF,p4.2.a,0,2500,2.09690492499999,2.09690492499999,3764,206.0,206.0,0.0,49.62527483598225,10,1.6412008999996033,0.4557040250003865,True,True,time_limit_guard_at_iteration_boundary,True,2,04_symmetric_wall_clock_ejection_on_off/off/raw_runs.csv
Symmetric wall clock,Chao,Ejection OFF,p4.2.a,1,2500,2.09690492499999,2.09690492499999,3770,206.0,206.0,0.0,49.62527483598225,10,1.6549344000013662,0.4419705249986236,True,True,time_limit_guard_at_iteration_boundary,True,2,04_symmetric_wall_clock_ejection_on_off/off/raw_runs.csv
Symmetric wall clock,Chao,Ejection OFF,p4.2.a,2,2500,2.09690492499999,2.09690492499999,3801,206.0,206.0,0.0,49.62527483598225,10,1.6760265000011714,0.4208784249988184,True,True,time_limit_guard_at_iteration_boundary,True,2,04_symmetric_wall_clock_ejection_on_off/off/raw_runs.csv
Symmetric wall clock,Chao,Ejection OFF,p4.2.a,3,2500,2.09690492499999,2.09690492499999,3830,206.0,206.0,0.0,49.62527483598225,10,1.6853833999994094,0.4115215250005803,True,True,time_limit_guard_at_iteration_boundary,True,2,04_symmetric_wall_clock_ejection_on_off/off/raw_runs.csv
Symmetric wall clock,Chao,Ejection OFF,p4.2.b,0,2500,3.48707622500001,3.48707622500001,4161,341.0,341.0,0.0,59.37836875107186,21,3.054070700000011,0.4330055249999986,True,True,time_limit_guard_at_iteration_boundary,True,2,04_symmetric_wall_clock_ejection_on_off/off/raw_runs.csv
Symmetric wall clock,Chao,Ejection OFF,p4.2.b,1,2500,3.48707622500001,3.48707622500001,4207,341.0,341.0,0.0,59.37836875107186,21,3.0782658999996784,0.4088103250003314,True,True,time_limit_guard_at_iteration_boundary,True,2,04_symmetric_wall_clock_ejection_on_off/off/raw_runs.csv
Symmetric wall clock,Chao,Ejection OFF,p4.2.b,2,2500,3.48707622500001,3.48707622500001,4165,341.0,341.0,0.0,59.37836875107186,21,2.9941781999987143,0.4928980250012955,True,True,time_limit_guard_at_iteration_boundary,True,2,04_symmetric_wall_clock_ejection_on_off/off/raw_runs.csv
Symmetric wall clock,Chao,Ejection OFF,p4.2.b,3,2500,3.48707622500001,3.48707622500001,4204,341.0,341.0,0.0,59.37836875107186,21,3.010595199999443,0.4764810250005666,True,True,time_limit_guard_at_iteration_boundary,True,2,04_symmetric_wall_clock_ejection_on_off/off/raw_runs.csv
Symmetric wall clock,Chao,Ejection OFF,p4.2.c,0,2500,4.77421177500014,4.77421177500014,4303,452.0,452.0,0.0,69.75857279532721,27,4.2905961999986175,0.4836155750015223,True,True,time_limit_guard_at_iteration_boundary,True,2,04_symmetric_wall_clock_ejection_on_off/off/raw_runs.csv
Symmetric wall clock,Chao,Ejection OFF,p4.2.c,1,2500,4.77421177500014,4.77421177500014,4314,452.0,452.0,0.0,69.75857279532721,27,4.365135500000179,0.4090762749999612,True,True,time_limit_guard_at_iteration_boundary,True,2,04_symmetric_wall_clock_ejection_on_off/off/raw_runs.csv
